scale,strategy,rounds,failure_count,failure_rate,total_score_mean,total_score_std,total_score_min,total_score_max,completed_tasks_mean,completed_tasks_std,completed_tasks_min,completed_tasks_max,total_tasks_mean,total_tasks_std,total_tasks_min,total_tasks_max,overdue_tasks_mean,overdue_tasks_std,overdue_tasks_min,overdue_tasks_max,timeout_rate_mean,timeout_rate_std,timeout_rate_min,timeout_rate_max,total_distance_mean,total_distance_std,total_distance_min,total_distance_max,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max
medium,genetic_hyper,5,0,0.0,9053.984,762.6209,7801.53,10045.79,160.4,2.0591,157.0,162.0,162.0,0.0,162.0,162.0,6.8,4.4452,1.0,14.0,0.042,0.0274,0.0062,0.0864,3179.626,142.9146,2990.7,3339.63,0.9901,0.0127,0.9691,1.0
medium,energy_aware_alns,5,0,0.0,8813.06,732.0279,7491.89,9748.86,161.0,1.0954,159.0,162.0,162.0,0.0,162.0,162.0,9.6,5.5353,2.0,19.0,0.0593,0.0342,0.0123,0.1173,3111.88,150.3129,2908.0,3269.7,0.9938,0.0068,0.9815,1.0
medium,time_first_bundle,5,0,0.0,8552.906,1128.1064,6600.56,9679.4,159.6,2.5768,156.0,162.0,162.0,0.0,162.0,162.0,9.2,7.5736,1.0,22.0,0.0568,0.0468,0.0062,0.1358,3129.274,136.5109,2938.7,3249.9,0.9852,0.0159,0.963,1.0
medium,max_weight,5,0,0.0,5290.45,741.1125,4443.3,6656.51,150.8,6.0795,143.0,158.0,162.0,0.0,162.0,162.0,35.8,6.7052,23.0,42.0,0.221,0.0414,0.142,0.2593,3436.708,42.9707,3370.3,3485.3,0.9309,0.0375,0.8827,0.9753
medium,nearest_task,5,0,0.0,5847.604,929.9282,4943.54,7596.77,151.0,6.6633,144.0,159.0,162.0,0.0,162.0,162.0,31.4,9.8914,13.0,41.0,0.1938,0.0611,0.0802,0.2531,3408.58,44.3861,3324.7,3444.1,0.9321,0.0411,0.8889,0.9815
medium,mappo,5,0,0.0,4140.83,1560.9573,2600.53,6684.37,95.6,24.5324,73.0,136.0,162.0,0.0,162.0,162.0,67.2,23.7436,30.0,88.0,0.4148,0.1466,0.1852,0.5432,1896.92,495.2986,1503.0,2755.4,0.5901,0.1514,0.4506,0.8395
