scale,strategy,rounds,failure_count,failure_rate,total_score_mean,total_score_std,total_score_min,total_score_max,completed_tasks_mean,completed_tasks_std,completed_tasks_min,completed_tasks_max,total_tasks_mean,total_tasks_std,total_tasks_min,total_tasks_max,overdue_tasks_mean,overdue_tasks_std,overdue_tasks_min,overdue_tasks_max,timeout_rate_mean,timeout_rate_std,timeout_rate_min,timeout_rate_max,total_distance_mean,total_distance_std,total_distance_min,total_distance_max,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max
medium,genetic_hyper,5,0,0.0,6875.592,605.8579,6138.09,7758.66,155.0,5.02,148.0,161.0,162.0,0.0,162.0,162.0,23.6,6.1838,15.0,33.0,0.1457,0.0382,0.0926,0.2037,2987.34,40.5217,2917.3,3042.4,0.9568,0.031,0.9136,0.9938
medium,energy_aware_alns,5,0,0.0,6991.858,503.4539,6103.49,7614.62,156.0,4.1473,150.0,162.0,162.0,0.0,162.0,162.0,25.0,4.8166,18.0,32.0,0.1543,0.0297,0.1111,0.1975,2939.14,51.951,2882.1,3022.6,0.963,0.0256,0.9259,1.0
medium,time_first_bundle,5,0,0.0,6071.82,215.4731,5803.72,6324.57,152.2,5.1147,145.0,158.0,162.0,0.0,162.0,162.0,29.8,3.6551,25.0,34.0,0.184,0.0226,0.1543,0.2099,2898.98,31.7536,2872.4,2959.7,0.9395,0.0316,0.8951,0.9753
medium,max_weight,5,2,0.4,4954.928,982.5857,3859.3,6151.17,130.2,9.8874,115.0,146.0,158.8,5.0359,149.0,162.0,41.8,9.6,31.0,56.0,0.2628,0.0573,0.195,0.3457,2740.26,246.6638,2375.3,2972.7,0.8191,0.0435,0.7718,0.9012
medium,nearest_task,5,0,0.0,5060.458,873.5672,3995.26,6470.01,137.2,5.2688,131.0,144.0,162.0,0.0,162.0,162.0,44.0,7.2388,31.0,51.0,0.2716,0.0447,0.1914,0.3148,2890.74,40.4887,2835.5,2957.4,0.8469,0.0325,0.8086,0.8889
medium,mappo,5,0,0.0,6062.324,1444.8489,3549.91,7404.12,153.4,5.9532,145.0,160.0,162.0,0.0,162.0,162.0,29.8,14.3861,17.0,55.0,0.1839,0.0888,0.1049,0.3395,3043.02,43.733,2978.2,3105.1,0.9469,0.0367,0.8951,0.9877
