stage,episode,seed,episode_reward,total_score,completed_tasks,overdue_tasks,timeout_rate,total_distance,simulation_failed,steps,actor_loss,critic_loss,entropy
medium,1,20260403,9968.9944,9830.01,162,0,0.0,3369.8,False,800,-0.00216,49335.545078,0.17011
medium,2,20260404,10369.1645,10259.25,162,1,0.0062,3144.0,False,800,-0.000285,49451.45668,0.191482
medium,3,20260405,10083.4442,9951.42,162,2,0.0123,3238.4,False,800,-0.005341,36629.469902,0.181356
medium,4,20260406,9786.9822,9661.67,162,2,0.0123,3247.4,False,800,-0.000398,23510.790986,0.181001
medium,5,20260407,9384.2504,9261.79,162,6,0.037,3391.8,False,800,-0.001632,12678.407241,0.148903
medium,6,20260408,10066.592,9948.9,162,2,0.0123,3453.4,False,800,-0.001184,11511.158105,0.145776
medium,7,20260409,8814.5716,8688.6,162,12,0.0741,3428.2,False,800,-9.9e-05,10878.494092,0.143472
medium,8,20260410,7740.4481,7601.04,162,18,0.1111,3562.2,False,800,3.1e-05,8991.941289,0.118826
medium,9,20260411,9482.5857,9379.8,162,6,0.037,3271.8,False,800,-0.000348,10609.294971,0.153138
medium,10,20260412,10301.7496,10191.27,162,0,0.0,3321.8,False,800,-0.000864,12012.858608,0.142245
medium,11,20260413,9442.0426,9343.85,162,5,0.0309,3203.4,False,800,-0.000262,14132.508906,0.160312
medium,12,20260414,9615.4837,9514.69,162,5,0.0309,3361.0,False,800,-0.00108,15703.008408,0.147447
medium,13,20260415,10315.8623,10231.19,162,2,0.0123,3180.8,False,800,-0.000994,17748.180479,0.186841
medium,14,20260416,10281.2447,10204.5,162,3,0.0185,3098.8,False,800,-0.00104,15835.667783,0.192509
medium,15,20260417,10001.8686,9876.18,162,2,0.0123,3458.2,False,800,-0.000423,12251.961846,0.143768
medium,16,20260418,10262.4815,10148.25,162,1,0.0062,3295.2,False,800,-0.000639,15125.135137,0.161236
medium,17,20260419,9418.9613,9284.89,162,5,0.0309,3437.8,False,800,-0.000607,17706.913633,0.131026
medium,18,20260420,9367.8005,9260.17,162,7,0.0432,3472.4,False,800,-0.000599,14512.967598,0.130367
medium,19,20260421,8819.2196,8700.37,162,8,0.0494,3453.0,False,800,-0.000908,15304.267637,0.117145
medium,20,20260422,10123.8171,10024.71,162,3,0.0185,3272.8,False,800,-9.1e-05,13313.881143,0.156576
medium,21,20260423,8965.9424,8847.36,162,4,0.0247,3567.2,False,800,-0.000181,15530.679111,0.127786
medium,22,20260424,9008.3855,8920.32,162,10,0.0617,3305.8,False,800,-0.000429,13694.450547,0.14285
medium,23,20260425,9904.4838,9810.5,162,4,0.0247,3461.8,False,800,-0.000533,12797.854482,0.128936
medium,24,20260426,8500.8964,8382.56,162,11,0.0679,3502.4,False,800,-0.001486,13049.345176,0.122123
medium,25,20260427,9375.4163,9270.1,162,6,0.037,3513.6,False,800,-0.002643,13209.463877,0.123925
medium,26,20260428,10077.3002,10044.35,162,3,0.0185,3203.8,False,800,-0.001817,11700.830913,0.164584
medium,27,20260429,10049.5402,9992.72,162,3,0.0185,3206.8,False,800,-0.00056,13056.130723,0.164915
medium,28,20260430,9424.1108,9325.35,162,7,0.0432,3372.6,False,800,-0.000242,10316.57918,0.137429
medium,29,20260431,9919.8939,9869.13,162,4,0.0247,3110.4,False,800,-0.000691,11321.289595,0.175067
medium,30,20260432,9970.4171,9903.98,162,2,0.0123,3274.8,False,800,-0.000451,14111.322598,0.159551
medium,31,20260433,9739.8073,9632.25,162,4,0.0247,3451.2,False,800,-0.00052,12253.681094,0.136633
medium,32,20260434,9309.6972,9227.29,162,7,0.0432,3306.0,False,800,-0.001763,13838.166221,0.127346
medium,33,20260435,9460.3258,9383.8,162,8,0.0494,3349.4,False,800,-8e-05,12204.338691,0.130586
medium,34,20260436,9992.9214,9923.76,162,2,0.0123,3234.2,False,800,-0.000112,13896.770723,0.133306
medium,35,20260437,9391.831,9312.42,162,6,0.037,3249.4,False,800,-0.001984,11617.51333,0.129163
medium,36,20260438,9260.588,9128.66,162,5,0.0309,3735.6,False,800,-0.000295,9737.565137,0.082035
medium,37,20260439,9158.1958,9060.54,162,7,0.0432,3525.6,False,800,-0.000424,7584.94084,0.116155
medium,38,20260440,9433.4448,9329.33,162,5,0.0309,3564.8,False,800,-0.000519,8356.924302,0.122911
medium,39,20260441,10415.0168,10350.02,162,0,0.0,3058.8,False,800,-0.000438,8718.479907,0.184194
medium,40,20260442,9113.8778,9032.32,162,8,0.0494,3383.6,False,800,-0.001157,10893.779326,0.136985
medium,41,20260443,10293.9654,10233.23,162,0,0.0,3394.2,False,800,-0.000881,11646.219282,0.116238
medium,42,20260444,9661.8896,9566.6,162,5,0.0309,3573.4,False,800,-0.00026,7062.299697,0.095557
medium,43,20260445,9902.9324,9847.51,162,5,0.0309,3167.6,False,800,-0.000351,17423.409414,0.146243
medium,44,20260446,8294.7041,8205.23,162,11,0.0679,3453.0,False,800,1.4e-05,9720.023784,0.112538
medium,45,20260447,9508.3159,9447.81,162,5,0.0309,3229.0,False,800,-0.001538,14831.200215,0.147801
medium,46,20260448,9399.8356,9296.63,162,8,0.0494,3485.2,False,800,-0.000415,8710.293984,0.105906
medium,47,20260449,9575.007,9520.98,162,3,0.0185,3186.6,False,800,-0.000213,9778.678652,0.153904
medium,48,20260450,9797.3972,9731.72,162,5,0.0309,3229.6,False,800,-0.000308,15453.105293,0.139659
medium,49,20260451,9502.2893,9437.69,162,5,0.0309,3418.2,False,800,-0.001923,9970.208901,0.110211
medium,50,20260452,9670.0011,9592.05,162,5,0.0309,3562.6,False,800,-0.000366,8885.054829,0.113848
medium,51,20260453,9854.4831,9774.75,162,3,0.0185,3383.2,False,800,-0.00059,8573.224595,0.121973
medium,52,20260454,10178.8553,10110.83,162,2,0.0123,3351.0,False,800,-0.000192,6625.382793,0.130018
medium,53,20260455,9409.4529,9337.69,162,6,0.037,3488.0,False,800,-0.001065,12464.225352,0.112047
medium,54,20260456,9654.0809,9569.37,162,7,0.0432,3428.6,False,800,-0.000382,11205.955029,0.122713
medium,55,20260457,10008.1823,9937.03,162,3,0.0185,3434.2,False,800,-0.00051,9465.645991,0.109615
medium,56,20260458,9210.1729,9160.97,162,9,0.0556,3360.6,False,800,4.6e-05,9925.329341,0.111974
medium,57,20260459,8277.6846,8196.69,162,9,0.0556,3434.2,False,800,-0.000253,9808.744932,0.092366
medium,58,20260460,9628.2386,9568.16,162,5,0.0309,3298.6,False,800,-7.6e-05,8243.747417,0.113622
medium,59,20260461,10001.6481,9946.27,162,3,0.0185,3435.2,False,800,-0.000181,8457.043481,0.104244
medium,60,20260462,9399.4568,9355.62,162,7,0.0432,3368.8,False,800,-0.000331,10230.236685,0.100992
medium,61,20260463,10453.5106,10408.57,162,0,0.0,3160.4,False,800,-0.000241,8964.246484,0.127757
medium,62,20260464,9725.1943,9636.22,162,4,0.0247,3395.8,False,800,-0.000163,10370.415034,0.087088
medium,63,20260465,9660.3895,9584.61,162,3,0.0185,3577.2,False,800,-0.000253,7184.820664,0.07949
medium,64,20260466,8894.6963,8809.27,162,7,0.0432,3546.0,False,800,-0.000495,7943.079141,0.075348
medium,65,20260467,9813.694,9786.17,162,5,0.0309,3128.8,False,800,7.4e-05,17035.465313,0.126423
medium,66,20260468,9993.9295,9915.28,162,3,0.0185,3400.4,False,800,-0.000568,8570.086509,0.095848
medium,67,20260469,9020.9182,8965.83,162,9,0.0556,3293.4,False,800,2.1e-05,13230.003604,0.091778
medium,68,20260470,10062.2373,9954.43,162,1,0.0062,3520.0,False,800,-0.000301,5702.584375,0.071683
medium,69,20260471,10039.3758,9971.93,162,3,0.0185,3415.4,False,800,-0.000709,12386.854834,0.077571
medium,70,20260472,10366.9693,10361.72,162,0,0.0,3224.0,False,800,-0.000135,11417.088247,0.095934
medium,71,20260473,10053.6806,10009.49,162,3,0.0185,3456.6,False,800,-0.000194,7737.212114,0.071435
medium,72,20260474,9339.1954,9301.29,162,6,0.037,3430.6,False,800,-0.00048,12489.800889,0.063182
medium,73,20260475,10409.0647,10361.68,162,1,0.0062,3204.6,False,800,6.7e-05,10964.225288,0.0817
medium,74,20260476,9772.7212,9763.17,162,4,0.0247,3070.4,False,800,0.000119,12595.209678,0.09732
