experiment,generation,candidate,fitness,strategy,rounds,failure_count,failure_rate,total_score_mean,total_score_std,total_score_min,total_score_max,completed_tasks_mean,completed_tasks_std,completed_tasks_min,completed_tasks_max,total_tasks_mean,total_tasks_std,total_tasks_min,total_tasks_max,overdue_tasks_mean,overdue_tasks_std,overdue_tasks_min,overdue_tasks_max,timeout_rate_mean,timeout_rate_std,timeout_rate_min,timeout_rate_max,total_distance_mean,total_distance_std,total_distance_min,total_distance_max,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max
extreme_load,2,8,51.185,genetic_hyper_extra_training,2,0,0.0,-105.44,719.44,-824.88,614.0,217.5,5.5,212.0,223.0,486.0,0.0,486.0,486.0,295.5,7.5,288.0,303.0,0.608,0.0155,0.5926,0.6235,3404.3,11.4,3392.9,3415.7,0.4475,0.0113,0.4362,0.4588
extreme_load,3,1,784.695,genetic_hyper_extra_training,2,0,0.0,627.335,131.235,496.1,758.57,218.5,3.5,215.0,222.0,486.0,0.0,486.0,486.0,290.0,2.0,288.0,292.0,0.5967,0.0041,0.5926,0.6008,3424.35,19.75,3404.6,3444.1,0.4496,0.0072,0.4424,0.4568
extreme_load,3,2,563.92,genetic_hyper_extra_training,2,0,0.0,408.73,205.27,203.46,614.0,215.5,7.5,208.0,223.0,486.0,0.0,486.0,486.0,292.5,4.5,288.0,297.0,0.6018,0.0092,0.5926,0.6111,3423.6,30.7,3392.9,3454.3,0.4434,0.0154,0.428,0.4588
extreme_load,3,3,-2983.33,genetic_hyper_extra_training,2,0,0.0,-3144.295,1965.935,-5110.23,-1178.36,223.5,3.5,220.0,227.0,486.0,0.0,486.0,486.0,294.0,7.0,287.0,301.0,0.6049,0.0144,0.5905,0.6193,3457.35,23.55,3433.8,3480.9,0.4599,0.0072,0.4527,0.4671
extreme_load,3,4,643.85,genetic_hyper_extra_training,2,0,0.0,486.14,2245.93,-1759.79,2732.07,219.0,3.0,216.0,222.0,486.0,0.0,486.0,486.0,291.0,7.0,284.0,298.0,0.5988,0.0144,0.5844,0.6132,3430.05,41.75,3388.3,3471.8,0.4506,0.0062,0.4444,0.4568
extreme_load,3,5,563.92,genetic_hyper_extra_training,2,0,0.0,408.73,205.27,203.46,614.0,215.5,7.5,208.0,223.0,486.0,0.0,486.0,486.0,292.5,4.5,288.0,297.0,0.6018,0.0092,0.5926,0.6111,3423.6,30.7,3392.9,3454.3,0.4434,0.0154,0.428,0.4588
extreme_load,3,6,-701.03,genetic_hyper_extra_training,2,0,0.0,-858.39,1354.49,-2212.88,496.1,218.5,3.5,215.0,222.0,486.0,0.0,486.0,486.0,295.5,7.5,288.0,303.0,0.608,0.0155,0.5926,0.6235,3430.8,26.2,3404.6,3457.0,0.4496,0.0072,0.4424,0.4568
extreme_load,3,7,492.6,genetic_hyper_extra_training,2,0,0.0,334.89,161.21,173.68,496.1,219.0,3.0,216.0,222.0,486.0,0.0,486.0,486.0,289.0,1.0,288.0,290.0,0.5947,0.002,0.5926,0.5967,3419.7,15.1,3404.6,3434.8,0.4506,0.0062,0.4444,0.4568
extreme_load,3,8,420.3,genetic_hyper_extra_training,2,0,0.0,263.29,232.81,30.48,496.1,218.0,4.0,214.0,222.0,486.0,0.0,486.0,486.0,292.0,4.0,288.0,296.0,0.6008,0.0082,0.5926,0.6091,3425.2,20.6,3404.6,3445.8,0.4486,0.0082,0.4403,0.4568
extreme_load,4,1,784.695,genetic_hyper_extra_training,2,0,0.0,627.335,131.235,496.1,758.57,218.5,3.5,215.0,222.0,486.0,0.0,486.0,486.0,290.0,2.0,288.0,292.0,0.5967,0.0041,0.5926,0.6008,3424.35,19.75,3404.6,3444.1,0.4496,0.0072,0.4424,0.4568
extreme_load,4,2,643.85,genetic_hyper_extra_training,2,0,0.0,486.14,2245.93,-1759.79,2732.07,219.0,3.0,216.0,222.0,486.0,0.0,486.0,486.0,291.0,7.0,284.0,298.0,0.5988,0.0144,0.5844,0.6132,3430.05,41.75,3388.3,3471.8,0.4506,0.0062,0.4444,0.4568
extreme_load,4,3,-574.78,genetic_hyper_extra_training,2,0,0.0,-731.79,1580.91,-2312.7,849.12,218.0,5.0,213.0,223.0,486.0,0.0,486.0,486.0,296.5,6.5,290.0,303.0,0.6101,0.0134,0.5967,0.6235,3411.3,18.5,3392.8,3429.8,0.4486,0.0102,0.4383,0.4588
extreme_load,4,4,-574.78,genetic_hyper_extra_training,2,0,0.0,-731.79,1580.91,-2312.7,849.12,218.0,5.0,213.0,223.0,486.0,0.0,486.0,486.0,296.5,6.5,290.0,303.0,0.6101,0.0134,0.5967,0.6235,3411.3,18.5,3392.8,3429.8,0.4486,0.0102,0.4383,0.4588
extreme_load,4,5,563.92,genetic_hyper_extra_training,2,0,0.0,408.73,205.27,203.46,614.0,215.5,7.5,208.0,223.0,486.0,0.0,486.0,486.0,292.5,4.5,288.0,297.0,0.6018,0.0092,0.5926,0.6111,3423.6,30.7,3392.9,3454.3,0.4434,0.0154,0.428,0.4588
extreme_load,4,6,-615.21,genetic_hyper_extra_training,2,0,0.0,-773.27,1878.35,-2651.62,1105.08,219.5,1.5,218.0,221.0,486.0,0.0,486.0,486.0,291.0,2.0,289.0,293.0,0.5988,0.0041,0.5947,0.6029,3427.8,30.4,3397.4,3458.2,0.4516,0.003,0.4486,0.4547
