stage,episode,seed,episode_reward,total_score,completed_tasks,overdue_tasks,timeout_rate,total_distance,simulation_failed,steps,actor_loss,critic_loss,entropy
medium,58,20260460,5196.6745,5125.85,153,36,0.2222,3027.0,False,800,-0.000673,5959.15886,0.041129
medium,59,20260461,4187.9587,4095.34,151,40,0.2469,3137.9,False,800,-0.000126,4987.45054,0.036379
medium,60,20260462,4808.4537,4729.07,154,34,0.2099,3131.2,False,800,-0.00103,7461.370356,0.033962
medium,61,20260463,7286.167,7234.41,158,20,0.1235,3026.8,False,800,-0.0004,5040.791133,0.035997
medium,62,20260464,-583.3396,-667.59,149,88,0.5432,3036.5,False,800,-0.0007,5053.780757,0.034629
medium,63,20260465,652.854,571.72,144,81,0.5,3077.5,False,800,1e-05,5420.942444,0.034281
medium,64,20260466,-2653.1936,-2719.33,147,97,0.5988,3088.6,False,800,-3e-06,9308.243018,0.037542
medium,65,20260467,6897.7149,6813.25,159,15,0.0926,3027.6,False,800,-0.00014,8851.229319,0.023927
medium,66,20260468,4142.6747,4061.01,152,48,0.2963,3101.7,False,800,-0.000258,2847.865347,0.024714
medium,67,20260469,130.47,61.9,152,78,0.4815,2994.5,False,800,-5e-05,4963.88761,0.036385
medium,68,20260470,1255.0791,1186.86,145,73,0.4506,3069.7,False,800,-0.000423,5314.458191,0.030147
medium,69,20260471,2030.8499,1956.54,151,66,0.4074,3086.3,False,800,-7.8e-05,5293.595964,0.02348
medium,70,20260472,8415.8078,8323.67,158,12,0.0741,3076.0,False,800,-0.000251,5385.48022,0.024395
medium,71,20260473,2838.274,2752.89,147,63,0.3889,3016.6,False,800,-0.000216,4882.932234,0.02663
medium,72,20260474,313.5503,243.43,151,77,0.4753,3066.6,False,800,-0.000201,6850.346416,0.030479
medium,73,20260475,7166.2727,7079.66,158,20,0.1235,3084.4,False,800,-0.000212,4191.286841,0.029638
medium,74,20260476,4497.0883,4412.13,157,42,0.2593,2917.9,False,800,-0.00082,5754.186667,0.040613
medium,75,20260477,7363.035,7290.81,157,16,0.0988,3082.7,False,800,-0.000214,6135.454973,0.03262
medium,76,20260478,3509.9903,3433.48,151,48,0.2963,3019.4,False,800,-0.000314,7646.371711,0.038959
medium,77,20260479,5474.1156,5396.11,152,30,0.1852,3112.2,False,800,-9.1e-05,5878.27769,0.03474
medium,78,20260480,1863.1544,1777.01,158,54,0.3333,3072.2,False,800,-0.000722,11088.990679,0.041702
medium,79,20260481,223.8312,139.98,150,78,0.4815,3136.0,False,800,-0.000501,6088.414648,0.035195
medium,80,20260482,4575.3732,4478.1,150,38,0.2346,3121.3,False,800,-0.0005,5488.713418,0.040428
medium,81,20260483,1122.5928,1030.32,145,71,0.4383,3135.3,False,800,-0.000659,7001.753591,0.044737
medium,82,20260484,3541.5509,3473.75,150,49,0.3025,3112.9,False,800,-0.000563,6239.835662,0.039996
medium,83,20260485,4365.653,4306.58,155,47,0.2901,3080.4,False,800,-0.000451,5135.889241,0.031231
medium,84,20260486,-969.1419,-1012.05,141,88,0.5432,2948.9,False,800,-0.000455,7775.359729,0.045506
medium,85,20260487,2003.1688,1986.35,140,71,0.4383,2958.9,False,800,-0.00043,5152.148574,0.038762
medium,86,20260488,1841.0004,1756.26,145,67,0.4136,3093.0,False,800,-0.000435,6904.686655,0.038972
medium,87,20260489,235.7886,161.34,147,79,0.4877,3121.2,False,800,-0.000824,4921.327007,0.03329
medium,88,20260490,2482.5188,2417.72,148,57,0.3519,2988.6,False,800,-0.000136,8192.248716,0.030594
medium,89,20260491,5203.2624,5168.35,154,41,0.2531,3016.3,False,800,-0.000227,4632.237632,0.024439
medium,90,20260492,-1071.3936,-1136.25,143,88,0.5432,3009.9,False,800,-7.8e-05,8138.177217,0.032668
medium,91,20260493,5675.6042,5626.22,149,40,0.2469,3042.5,False,800,-0.000353,4090.212256,0.024983
medium,92,20260494,2132.8644,2077.21,158,58,0.358,3062.7,False,800,-0.001205,6638.556731,0.024396
medium,93,20260495,6844.6897,6770.0,156,25,0.1543,3149.2,False,800,-0.000123,5962.229094,0.015257
medium,94,20260496,1766.0409,1718.2,150,71,0.4383,3040.7,False,800,-0.000308,3848.316396,0.020465
medium,95,20260497,7979.6203,7927.48,158,14,0.0864,3049.7,False,800,-0.000223,4738.304292,0.01931
medium,96,20260498,4103.7146,4024.86,155,47,0.2901,3117.6,False,800,-0.000361,3815.572554,0.017536
medium,97,20260499,5088.9714,5025.69,157,30,0.1852,3008.3,False,800,-9.7e-05,6392.418694,0.016919
medium,98,20260500,5464.7569,5393.89,155,37,0.2284,3007.4,False,800,-0.000247,3006.487103,0.015363
medium,99,20260501,2932.3246,2878.96,145,61,0.3765,3132.9,False,800,-0.000313,4239.686926,0.014007
medium,100,20260502,5968.4564,5922.7,157,38,0.2346,3095.5,False,800,1.8e-05,2385.047649,0.013699
medium,101,20260503,8301.8949,8258.76,159,15,0.0926,3029.4,False,800,-0.000144,8653.056123,0.013337
