stage,episode,seed,episode_reward,total_score,completed_tasks,overdue_tasks,timeout_rate,total_distance,simulation_failed,steps,actor_loss,critic_loss,entropy
medium,1,20260403,4251.0026,4152.82,146,49,0.3025,2930.0,False,800,-0.001116,31853.887715,0.115203
medium,2,20260404,6187.6922,6110.3,154,31,0.1914,2887.1,False,800,-0.000549,25400.931719,0.111199
medium,3,20260405,-69.1058,-168.76,152,80,0.4938,3000.8,False,800,-0.000664,31360.505117,0.091611
medium,4,20260406,-90.0533,-178.86,149,81,0.5,2925.0,False,800,-0.000568,25367.026777,0.1172
medium,5,20260407,-1454.7595,-1533.19,140,90,0.5556,2903.2,False,800,-0.000415,16711.875996,0.105927
medium,6,20260408,1927.03,1844.91,148,62,0.3827,3076.1,False,800,-0.00111,9910.658955,0.073477
medium,7,20260409,2258.6657,2177.82,144,65,0.4012,2923.7,False,800,-0.000238,8758.800864,0.105863
medium,8,20260410,-2876.5852,-2959.35,144,109,0.6728,3049.0,False,800,-0.000824,9540.62168,0.076438
medium,9,20260411,-42.6067,-132.66,153,80,0.4938,2976.7,False,800,-0.001583,6547.298643,0.082277
medium,10,20260412,4138.9634,4049.37,150,46,0.284,2949.0,False,800,-0.000811,10635.547158,0.083769
medium,11,20260413,4979.0957,4895.62,151,45,0.2778,2943.1,False,800,-0.00117,7627.110068,0.085475
medium,12,20260414,315.5452,225.18,150,83,0.5123,3024.0,False,800,-0.001077,11833.811704,0.075422
medium,13,20260415,8042.3311,7947.46,157,15,0.0926,3033.3,False,800,-0.0005,9089.97667,0.069833
medium,14,20260416,8384.1719,8284.55,157,17,0.1049,2945.1,False,800,-0.000749,9098.623774,0.079511
medium,15,20260417,2300.3889,2212.95,147,68,0.4198,3097.0,False,800,-0.000323,6882.307827,0.070998
medium,16,20260418,3795.1085,3695.72,152,53,0.3272,3026.2,False,800,-0.000912,6080.674592,0.077091
medium,17,20260419,-2187.7903,-2284.67,147,96,0.5926,3063.6,False,800,-0.000216,8071.214458,0.070342
medium,18,20260420,1237.8583,1136.85,150,69,0.4259,3147.9,False,800,-0.000466,9608.147773,0.073297
medium,19,20260421,-2254.3303,-2341.26,145,101,0.6235,3035.2,False,800,-0.000391,10926.707715,0.069807
medium,20,20260422,7759.6985,7657.16,157,15,0.0926,3063.7,False,800,-0.00046,8271.448101,0.067695
medium,21,20260423,1848.4893,1770.64,143,62,0.3827,3051.8,False,800,-0.000323,9289.136616,0.078828
medium,22,20260424,3121.5139,3032.9,149,55,0.3395,2957.9,False,800,-0.001052,7321.113887,0.076471
medium,23,20260425,3730.5236,3617.13,149,42,0.2593,3106.8,False,800,-0.00027,6629.784517,0.065878
medium,24,20260426,-1386.4735,-1475.76,143,90,0.5556,2992.1,False,800,-0.000588,14497.036113,0.065915
