scale,strategy,rounds,failure_count,failure_rate,total_score_mean,total_score_std,total_score_min,total_score_max,completed_tasks_mean,completed_tasks_std,completed_tasks_min,completed_tasks_max,total_tasks_mean,total_tasks_std,total_tasks_min,total_tasks_max,overdue_tasks_mean,overdue_tasks_std,overdue_tasks_min,overdue_tasks_max,timeout_rate_mean,timeout_rate_std,timeout_rate_min,timeout_rate_max,total_distance_mean,total_distance_std,total_distance_min,total_distance_max,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max
medium,genetic_hyper,5,0,0.0,-4557.668,1189.3826,-6817.04,-3429.07,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,67.0,4.3359,62.0,73.0,0.4136,0.0268,0.3827,0.4506,3003.26,124.9695,2829.5,3145.2,1.0,0.0,1.0,1.0
medium,energy_aware_alns,5,0,0.0,-2858.302,1292.6952,-5268.83,-1722.85,161.2,0.7483,160.0,162.0,162.0,0.0,162.0,162.0,80.8,7.985,74.0,92.0,0.4988,0.0493,0.4568,0.5679,2723.34,149.9217,2535.2,2903.6,0.9951,0.0046,0.9877,1.0
medium,time_first_bundle,5,0,0.0,-4301.23,1305.1313,-6765.26,-3076.24,161.8,0.4,161.0,162.0,162.0,0.0,162.0,162.0,66.2,5.1536,60.0,74.0,0.4087,0.0318,0.3704,0.4568,2988.1,128.9352,2802.6,3153.3,0.9988,0.0025,0.9938,1.0
medium,max_weight,5,0,0.0,-7034.378,1012.2447,-7815.27,-5137.23,149.2,6.0133,140.0,158.0,162.0,0.0,162.0,162.0,85.8,5.7061,78.0,94.0,0.5296,0.0352,0.4815,0.5802,3183.44,95.5359,3056.2,3292.6,0.921,0.0371,0.8642,0.9753
medium,nearest_task,5,0,0.0,-1398.764,558.2115,-2240.85,-802.14,148.6,3.9294,141.0,152.0,162.0,0.0,162.0,162.0,64.0,3.0332,59.0,68.0,0.3951,0.0187,0.3642,0.4198,2974.78,152.2452,2727.0,3131.7,0.9173,0.0242,0.8704,0.9383
medium,mappo,5,0,0.0,-378.604,396.4625,-1000.26,239.08,32.4,4.9234,25.0,40.0,162.0,0.0,162.0,162.0,130.6,4.8,123.0,138.0,0.8062,0.0296,0.7593,0.8519,602.28,64.1828,513.8,666.4,0.2,0.0304,0.1543,0.2469
