stage,episode,seed,episode_reward,total_score,completed_tasks,overdue_tasks,timeout_rate,total_distance,simulation_failed,steps,actor_loss,critic_loss,entropy
medium,58,20260460,9770.3881,9723.36,162,3,0.0185,3298.6,False,800,-0.000388,7465.092046,0.089979
medium,59,20260461,10125.8621,10080.51,162,1,0.0062,3435.2,False,800,-6.3e-05,6899.489316,0.090444
medium,60,20260462,9884.6968,9822.81,162,2,0.0123,3368.8,False,800,-0.000419,8954.957646,0.086564
medium,61,20260463,10405.2449,10405.52,162,0,0.0,3160.4,False,800,-0.000274,9407.576387,0.091325
medium,62,20260464,9840.2802,9763.75,162,1,0.0062,3395.8,False,800,-0.000809,6800.889321,0.074875
medium,63,20260465,9887.653,9813.83,162,1,0.0062,3577.2,False,800,-6.1e-05,7715.215195,0.063621
medium,64,20260466,9552.7886,9467.42,162,0,0.0,3546.0,False,800,-2.7e-05,7352.087109,0.072284
medium,65,20260467,10069.6608,10056.11,162,2,0.0123,3128.8,False,800,6.7e-05,12206.80188,0.108925
medium,66,20260468,10247.5913,10181.12,162,0,0.0,3400.4,False,800,-0.000879,7913.562158,0.094932
medium,67,20260469,9741.989,9675.04,162,1,0.0062,3293.4,False,800,-0.000292,14165.588203,0.096984
medium,68,20260470,9984.3051,9883.25,162,1,0.0062,3520.0,False,800,-0.000528,7105.352871,0.085771
medium,69,20260471,10277.2425,10209.95,162,0,0.0,3415.4,False,800,-0.000173,14409.872334,0.089814
medium,70,20260472,10333.4659,10322.4,162,0,0.0,3224.0,False,800,-0.001287,11586.911616,0.099967
medium,71,20260473,10288.7388,10224.86,162,0,0.0,3456.6,False,800,-0.001118,7066.616597,0.08641
medium,72,20260474,9908.0546,9844.27,162,0,0.0,3430.6,False,800,-0.000637,10523.977349,0.095836
medium,73,20260475,10462.8385,10430.55,162,0,0.0,3204.6,False,800,-0.000523,11688.340117,0.117467
medium,74,20260476,10201.3674,10159.01,162,0,0.0,3070.4,False,800,-0.000108,13357.1052,0.13844
medium,75,20260477,10303.0921,10283.64,162,0,0.0,3236.2,False,800,-0.000105,9175.839482,0.122336
medium,76,20260478,9938.8159,9883.06,162,0,0.0,3271.6,False,800,-0.000381,8920.830405,0.119464
medium,77,20260479,9976.5521,9923.21,162,0,0.0,3401.4,False,800,-0.001745,12127.534194,0.119909
medium,78,20260480,9748.0513,9685.56,162,0,0.0,3242.4,False,800,-0.000275,12898.728394,0.139932
medium,79,20260481,10059.7375,9974.49,162,0,0.0,3421.0,False,800,-0.00088,9071.260264,0.106499
medium,80,20260482,10061.9535,9993.22,162,0,0.0,3465.6,False,800,-0.000259,7785.844771,0.113587
medium,81,20260483,9758.5947,9645.19,162,0,0.0,3576.4,False,800,-7.4e-05,9471.75127,0.088331
medium,82,20260484,10283.8165,10211.42,162,0,0.0,3481.4,False,800,-0.000519,11790.441987,0.1234
medium,83,20260485,10166.7904,10097.62,162,0,0.0,3274.6,False,800,-0.000474,8472.607661,0.135507
medium,84,20260486,9571.7659,9480.98,162,0,0.0,3403.6,False,800,-0.000605,6513.363557,0.104065
medium,85,20260487,8350.064,8256.5,162,3,0.0185,3534.0,False,800,-0.000686,6465.594031,0.094017
medium,86,20260488,10264.0652,10137.26,162,0,0.0,3507.6,False,800,-0.000171,6733.084849,0.114167
medium,87,20260489,9950.4213,9820.32,162,0,0.0,3555.2,False,800,-0.000186,6130.833967,0.102102
medium,88,20260490,10275.0824,10162.17,162,0,0.0,3406.4,False,800,-0.000134,8730.764199,0.120882
medium,89,20260491,10080.4138,9970.18,162,0,0.0,3285.2,False,800,-0.000388,6988.564775,0.132691
medium,90,20260492,9275.1774,9162.02,162,2,0.0123,3481.0,False,800,-0.000201,6712.596729,0.109942
medium,91,20260493,10074.6268,9986.88,162,0,0.0,3429.0,False,800,0.000173,13611.127856,0.119424
medium,92,20260494,10151.5702,10068.98,162,0,0.0,3208.6,False,800,9.9e-05,12089.028345,0.157103
medium,93,20260495,10266.3475,10175.11,162,0,0.0,3325.4,False,800,-0.000505,7388.4048,0.143469
medium,94,20260496,9862.009,9777.89,162,0,0.0,3359.4,False,800,-0.000407,8171.201206,0.131705
medium,95,20260497,10451.4356,10405.28,162,0,0.0,3191.6,False,800,-0.001501,9714.106367,0.154605
medium,96,20260498,10246.072,10148.19,162,0,0.0,3339.2,False,800,-0.001223,12696.475732,0.128411
medium,97,20260499,10057.2779,9983.69,162,0,0.0,3212.4,False,800,-0.000409,11323.489624,0.140968
medium,98,20260500,10402.9375,10323.24,162,0,0.0,3204.8,False,800,-0.000245,7871.090293,0.147763
medium,99,20260501,10351.457,10247.73,162,0,0.0,3526.8,False,800,-0.000314,6728.609998,0.113601
medium,100,20260502,10083.6004,10010.89,162,0,0.0,3253.2,False,800,-0.000576,5334.186438,0.146419
