tick,scale_name,candidate_task_count,candidate_vehicle_count,iteration_count,planning_time_ms,initial_score,best_score,score_improvement,initial_distance,best_distance,initial_lateness,best_lateness,initial_unassigned,best_unassigned,accepted_count,best_destroy,best_repair,destroy_weights,repair_weights
362,large,4,5,120,0.05,-32.0,-32.0,0.0,0.0,0.0,0.0,0.0,4,4,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
363,large,4,5,120,0.16,-32.0,-32.0,0.0,0.0,0.0,0.0,0.0,4,4,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
364,large,4,5,120,3.6,-54.51,-54.51,0.0,49.0,49.0,8.0,8.0,3,3,120,,,"[2.15, 2.85, 2.15, 2.85]","[2.85, 2.65, 2.15, 2.35]"
365,large,3,4,120,3.26,-7.19,-7.19,0.0,48.8,48.8,0.0,0.0,2,2,120,,,"[2.45, 2.7, 2.05, 2.8]","[2.7, 2.2, 2.25, 2.85]"
369,large,3,5,120,0.04,-24.0,-24.0,0.0,0.0,0.0,0.0,0.0,3,3,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
370,large,3,5,120,0.05,-24.0,-24.0,0.0,0.0,0.0,0.0,0.0,3,3,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
371,large,3,5,120,0.04,-24.0,-24.0,0.0,0.0,0.0,0.0,0.0,3,3,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
372,large,4,5,120,0.07,-32.0,-32.0,0.0,0.0,0.0,0.0,0.0,4,4,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
373,large,4,6,120,4.75,2.22,2.22,0.0,82.0,82.0,0.0,0.0,2,2,120,,,"[2.9, 2.25, 2.5, 2.35]","[2.75, 2.55, 2.45, 2.25]"
374,large,3,4,120,9.92,0.59,0.59,0.0,10.4,10.4,0.0,0.0,2,2,120,,,"[2.35, 2.7, 2.15, 2.8]","[2.55, 2.9, 2.45, 2.1]"
376,large,3,3,120,7.1,-0.67,-0.67,0.0,17.8,17.8,0.0,0.0,2,2,120,,,"[2.7, 2.3, 2.75, 2.25]","[3.0, 2.35, 2.1, 2.55]"
379,large,3,2,120,4.16,-2.62,-2.62,0.0,26.4,26.4,0.0,0.0,2,2,120,,,"[2.4, 2.25, 2.95, 2.4]","[3.45, 2.85, 1.55, 2.15]"
380,large,3,1,120,4.12,-3.97,-3.97,0.0,32.4,32.4,0.0,0.0,2,2,120,,,"[2.05, 2.7, 2.25, 3.0]","[2.25, 2.8, 2.75, 2.2]"
384,large,4,1,120,5.33,-7.27,-7.27,0.0,8.2,8.2,0.0,0.0,3,3,120,,,"[2.25, 2.75, 2.4, 2.6]","[3.2, 3.0, 2.15, 1.65]"
385,large,4,1,120,0.07,-32.0,-32.0,0.0,0.0,0.0,0.0,0.0,4,4,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
386,large,4,1,120,0.06,-32.0,-32.0,0.0,0.0,0.0,0.0,0.0,4,4,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
387,large,6,1,120,0.07,-48.0,-48.0,0.0,0.0,0.0,0.0,0.0,6,6,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
388,large,8,2,120,5.48,-42.86,-42.86,0.0,10.4,10.4,0.0,0.0,7,7,120,,,"[2.45, 2.2, 2.55, 2.8]","[3.1, 2.4, 1.95, 2.55]"
389,large,8,1,120,0.1,-64.0,-64.0,0.0,0.0,0.0,0.0,0.0,8,8,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
390,large,8,1,120,0.08,-64.0,-64.0,0.0,0.0,0.0,0.0,0.0,8,8,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
391,large,8,1,120,0.08,-64.0,-64.0,0.0,0.0,0.0,0.0,0.0,8,8,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
392,large,10,1,120,0.09,-80.0,-80.0,0.0,0.0,0.0,0.0,0.0,10,10,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
393,large,10,1,120,0.09,-80.0,-80.0,0.0,0.0,0.0,0.0,0.0,10,10,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
394,large,10,2,120,7.2,-55.65,-55.65,0.0,19.0,19.0,0.0,0.0,9,9,120,,,"[2.45, 2.25, 2.75, 2.55]","[2.65, 1.95, 3.05, 2.35]"
