run_tag,window_index,tick_end,state,dispatch_action,charge_action,reward,completed_delta,overdue_delta,distance_delta,q_dispatch_before,q_dispatch_after,q_charge_before,q_charge_after,vehicle_count
38795988,2,40,0|0|4|0|3|0,dispatch_balanced,charge_task_first,0.698,1,0,15.1,0.0,0.1745,0.0,0.1745,3
38795988,3,60,0|0|4|0|3|0,dispatch_urgent_first,charge_task_first,1.734,2,0,13.3,0.0,0.4335,0.1745,0.564375,3
38795988,4,80,0|0|4|0|1|0,dispatch_energy_safe,charge_proactive,0.606,1,0,19.7,0.0,0.1515,0.0,0.1515,3
38795988,5,100,0|0|4|0|1|0,dispatch_energy_safe,charge_proactive,1.628,2,0,18.6,0.1515,0.520625,0.1515,0.520625,3
38795988,6,120,0|0|4|0|0|0,dispatch_balanced,charge_balanced,2.252,3,0,37.4,0.0,0.563,0.0,0.563,3
38795988,7,140,1|1|4|0|3|0,dispatch_energy_safe,charge_proactive,2.312,3,0,34.4,0.0,0.578,0.0,0.578,3
38795988,8,160,1|1|3|0|0|0,dispatch_bundle_first,charge_proactive,1.27,2,0,36.5,0.0,0.3175,0.0,0.3175,3
38795988,9,180,2|0|3|0|0|0,dispatch_urgent_first,charge_task_first,2.296,3,0,35.2,0.0,0.574,0.0,0.574,3
38795988,10,200,1|0|3|0|1|0,dispatch_urgent_first,charge_balanced,1.296,2,0,35.2,0.0,0.324,0.0,0.324,3
38795988,11,220,1|0|2|0|0|0,dispatch_urgent_first,charge_proactive,3.306,4,0,34.7,0.0,0.8265,0.0,0.8265,3
38795988,12,240,0|0|2|0|0|0,dispatch_urgent_first,charge_proactive,1.342,2,0,32.9,0.0,0.3355,0.0,0.3355,3
38795988,13,260,0|0|2|0|1|0,dispatch_bundle_first,charge_proactive,2.506,3,0,24.7,0.0,0.6265,0.0,0.6265,3
38795988,14,280,0|0|2|0|1|0,dispatch_bundle_first,charge_proactive,0.642,1,0,17.9,0.6265,0.701669,0.6265,0.701669,3
38795988,15,300,0|0|2|0|0|0,dispatch_balanced,charge_proactive,0.446,1,0,27.7,0.0,0.1115,0.3355,0.363125,3
38795988,16,320,0|0|3|0|0|0,dispatch_bundle_first,charge_task_first,1.35,2,0,32.5,0.0,0.408794,0.0,0.414664,3
38795988,17,340,0|0|2|0|0|0,dispatch_urgent_first,charge_proactive,2.316,3,0,34.2,0.3355,1.006256,0.363125,1.026975,3
38795988,18,360,1|0|2|0|0|0,dispatch_urgent_first,charge_proactive,2.372,3,0,31.4,0.8265,1.426704,0.8265,1.431107,3
38795988,19,380,0|0|2|0|0|0,dispatch_energy_safe,charge_proactive,2.262,3,0,36.9,0.0,0.5655,1.026975,1.335731,3
38795988,20,400,0|0|1|0|1|0,dispatch_bundle_first,charge_task_first,2.412,3,0,29.4,0.0,0.603,0.0,0.603,3
38795988,21,420,0|0|1|0|0|0,dispatch_balanced,charge_proactive,0.456,1,0,27.2,0.0,0.242138,0.0,0.242138,3
38795988,22,440,0|0|1|0|1|0,dispatch_bundle_first,charge_task_first,1.628,2,0,18.6,0.603,0.85925,0.603,0.85925,3
38795988,23,460,0|0|2|0|0|1,dispatch_urgent_first,charge_proactive,2.412,3,0,29.4,0.0,0.603,0.0,0.603,3
38795988,24,480,0|0|2|0|0|1,dispatch_urgent_first,charge_proactive,0.616,1,0,19.2,0.603,0.60625,0.603,0.60625,3
38795988,25,500,0|0|3|0|0|1,dispatch_urgent_first,charge_task_first,20.598,56,1,1620.1,0.0,5.278328,0.0,5.278328,8
38795988,26,520,0|0|2|0|0|1,dispatch_urgent_first,charge_proactive,1.076,3,0,96.2,0.60625,0.852516,0.60625,0.852516,8
38795988,27,540,0|0|2|0|0|1,dispatch_urgent_first,charge_proactive,4.096,6,0,95.2,0.852516,1.844546,0.852516,1.844546,8
38795988,28,560,0|0|2|0|0|1,dispatch_urgent_first,charge_proactive,-0.05,2,0,102.5,1.844546,1.762876,1.844546,1.762876,8
38795988,29,580,0|0|2|0|0|1,dispatch_urgent_first,charge_proactive,4.156,6,0,92.2,1.762876,2.735768,1.762876,2.735768,8
38795988,30,600,0|0|2|0|0|1,dispatch_urgent_first,charge_proactive,1.958,4,0,102.1,2.735768,2.541326,2.735768,2.541326,8
38795988,31,620,0|0|1|0|0|1,dispatch_bundle_first,charge_task_first,6.23,8,0,88.5,0.0,1.5575,0.0,1.5575,8
38795988,32,640,0|0|1|0|0|1,dispatch_urgent_first,charge_task_first,1.85,4,0,107.5,0.0,0.793469,1.5575,1.961594,8
38795988,33,660,0|0|1|0|0|1,dispatch_bundle_first,charge_task_first,2.342,4,0,82.9,1.5575,2.084594,1.961594,2.473534,8
38795988,34,680,0|0|1|0|0|1,dispatch_bundle_first,charge_task_first,2.468,4,0,76.6,2.084594,2.623421,2.473534,2.997776,8
38795988,35,700,0|0|1|0|0|1,dispatch_bundle_first,charge_task_first,4.226,6,0,88.7,2.623421,3.581543,2.997776,3.94186,8
38795988,36,720,0|0|1|0|0|1,dispatch_bundle_first,charge_task_first,1.586,3,0,70.7,3.581543,3.843735,3.94186,4.19054,8
38795988,37,740,0|0|1|0|0|1,dispatch_bundle_first,charge_task_first,2.336,3,0,33.2,3.843735,3.466801,4.19054,3.726905,8
38795988,38,760,0|0|2|0|1|1,dispatch_balanced,charge_balanced,-0.04,0,0,2.0,0.0,-0.01,0.0,-0.01,8
38795988,39,780,0|0|3|0|1|1,dispatch_urgent_first,charge_balanced,-0.132,0,0,6.6,0.0,-0.033,0.0,-0.033,8
38795988,40,800,0|0|4|0|3|1,dispatch_balanced,charge_proactive,-148.252,55,46,3262.6,0.0,-37.063,0.0,-37.063,15
38795988,41,820,1|4|1|0|0|1,dispatch_bundle_first,charge_proactive,-2.314,6,2,115.7,0.0,-0.5785,0.0,-0.5785,15
38795988,42,840,1|4|1|0|0|1,dispatch_balanced,charge_balanced,-6.444,2,2,122.2,0.0,-1.611,0.0,-1.611,15
38795988,43,860,1|4|2|0|0|1,dispatch_balanced,charge_task_first,4.44,7,0,128.0,0.0,1.11,0.0,1.11,15
38795988,44,880,2|4|2|0|0|1,dispatch_energy_safe,charge_task_first,-26.598,3,9,129.9,0.0,-6.6495,0.0,-6.6495,15
