experiment,generation,candidate,fitness,strategy,rounds,failure_count,failure_rate,total_score_mean,total_score_std,total_score_min,total_score_max,completed_tasks_mean,completed_tasks_std,completed_tasks_min,completed_tasks_max,total_tasks_mean,total_tasks_std,total_tasks_min,total_tasks_max,overdue_tasks_mean,overdue_tasks_std,overdue_tasks_min,overdue_tasks_max,timeout_rate_mean,timeout_rate_std,timeout_rate_min,timeout_rate_max,total_distance_mean,total_distance_std,total_distance_min,total_distance_max,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max
peak_gaussian,2,8,-6960.865,genetic_hyper_extra_training,2,0,0.0,-7290.355,1173.425,-8463.78,-6116.93,152.5,0.5,152.0,153.0,162.0,0.0,162.0,162.0,80.0,2.0,78.0,82.0,0.4939,0.0123,0.4815,0.5062,3107.25,4.85,3102.4,3112.1,0.9414,0.003,0.9383,0.9444
peak_gaussian,3,1,-6559.085,genetic_hyper_extra_training,2,0,0.0,-6889.66,1355.51,-8245.17,-5534.15,153.0,1.0,152.0,154.0,162.0,0.0,162.0,162.0,79.5,3.5,76.0,83.0,0.4907,0.0216,0.4691,0.5123,3109.05,5.85,3103.2,3114.9,0.9445,0.0061,0.9383,0.9506
peak_gaussian,3,2,-6559.085,genetic_hyper_extra_training,2,0,0.0,-6889.66,1355.51,-8245.17,-5534.15,153.0,1.0,152.0,154.0,162.0,0.0,162.0,162.0,79.5,3.5,76.0,83.0,0.4907,0.0216,0.4691,0.5123,3109.05,5.85,3103.2,3114.9,0.9445,0.0061,0.9383,0.9506
peak_gaussian,3,3,-6638.215,genetic_hyper_extra_training,2,0,0.0,-6968.79,1287.28,-8256.07,-5681.51,153.0,1.0,152.0,154.0,162.0,0.0,162.0,162.0,80.0,3.0,77.0,83.0,0.4938,0.0185,0.4753,0.5123,3110.85,7.65,3103.2,3118.5,0.9445,0.0061,0.9383,0.9506
peak_gaussian,3,4,-6797.665,genetic_hyper_extra_training,2,0,0.0,-7126.07,1127.07,-8253.14,-5999.0,152.0,0.0,152.0,152.0,162.0,0.0,162.0,162.0,80.0,2.0,78.0,82.0,0.4939,0.0123,0.4815,0.5062,3098.8,8.3,3090.5,3107.1,0.9383,0.0,0.9383,0.9383
peak_gaussian,3,5,-6885.615,genetic_hyper_extra_training,2,0,0.0,-7215.105,1513.585,-8728.69,-5701.52,152.5,0.5,152.0,153.0,162.0,0.0,162.0,162.0,81.5,4.5,77.0,86.0,0.5031,0.0278,0.4753,0.5309,3121.3,10.1,3111.2,3131.4,0.9414,0.003,0.9383,0.9444
peak_gaussian,3,6,-7232.215,genetic_hyper_extra_training,2,0,0.0,-7560.62,969.42,-8530.04,-6591.2,152.0,1.0,151.0,153.0,162.0,0.0,162.0,162.0,82.0,2.0,80.0,84.0,0.5061,0.0123,0.4938,0.5185,3128.8,3.3,3125.5,3132.1,0.9383,0.0061,0.9321,0.9444
peak_gaussian,3,7,-6827.435,genetic_hyper_extra_training,2,0,0.0,-7155.84,1099.26,-8255.1,-6056.58,152.0,1.0,151.0,153.0,162.0,0.0,162.0,162.0,80.0,3.0,77.0,83.0,0.4938,0.0185,0.4753,0.5123,3119.15,12.25,3106.9,3131.4,0.9383,0.0061,0.9321,0.9444
peak_gaussian,3,8,-6673.505,genetic_hyper_extra_training,2,0,0.0,-7002.995,1431.645,-8434.64,-5571.35,152.5,0.5,152.0,153.0,162.0,0.0,162.0,162.0,79.0,4.0,75.0,83.0,0.4877,0.0246,0.463,0.5123,3116.55,7.05,3109.5,3123.6,0.9414,0.003,0.9383,0.9444
peak_gaussian,4,1,-6559.085,genetic_hyper_extra_training,2,0,0.0,-6889.66,1355.51,-8245.17,-5534.15,153.0,1.0,152.0,154.0,162.0,0.0,162.0,162.0,79.5,3.5,76.0,83.0,0.4907,0.0216,0.4691,0.5123,3109.05,5.85,3103.2,3114.9,0.9445,0.0061,0.9383,0.9506
