scale,strategy,round,seed,total_score,completed_tasks,total_tasks,overdue_tasks,timeout_rate,total_distance,simulation_failed,failure_tick,failure_reason,completion_rate
medium,genetic_hyper,1,354787187,10277.08,162,162,0,0.0,3004.5,False,,,1.0
medium,genetic_hyper,2,1866801784,9956.84,162,162,0,0.0,3340.0,False,,,1.0
medium,genetic_hyper,3,736577488,10348.34,162,162,0,0.0,3281.4,False,,,1.0
medium,genetic_hyper,4,108402446,9946.81,162,162,0,0.0,3441.0,False,,,1.0
medium,genetic_hyper,5,550665828,10326.54,162,162,0,0.0,2951.2,False,,,1.0
medium,energy_aware_alns,1,354787187,10283.32,162,162,1,0.0062,2964.2,False,,,1.0
medium,energy_aware_alns,2,1866801784,9637.09,161,162,3,0.0185,3327.9,False,,,0.9938
medium,energy_aware_alns,3,736577488,10357.97,162,162,0,0.0,3273.2,False,,,1.0
medium,energy_aware_alns,4,108402446,9623.12,161,162,2,0.0123,3415.5,False,,,0.9938
medium,energy_aware_alns,5,550665828,10422.39,162,162,0,0.0,2960.7,False,,,1.0
medium,time_first_bundle,1,354787187,10066.4,162,162,0,0.0,2949.1,False,,,1.0
medium,time_first_bundle,2,1866801784,9601.55,162,162,1,0.0062,3307.2,False,,,1.0
medium,time_first_bundle,3,736577488,10258.78,162,162,0,0.0,3261.9,False,,,1.0
medium,time_first_bundle,4,108402446,9789.98,162,162,0,0.0,3405.5,False,,,1.0
medium,time_first_bundle,5,550665828,10095.36,162,162,1,0.0062,2948.1,False,,,1.0
medium,max_weight,1,354787187,9519.06,162,162,3,0.0185,3393.2,False,,,1.0
medium,max_weight,2,1866801784,8312.0,162,162,9,0.0556,3729.1,False,,,1.0
medium,max_weight,3,736577488,9327.77,162,162,4,0.0247,3692.2,False,,,1.0
medium,max_weight,4,108402446,7619.6,162,162,14,0.0864,3952.6,False,,,1.0
medium,max_weight,5,550665828,9157.34,162,162,5,0.0309,3532.1,False,,,1.0
medium,nearest_task,1,354787187,9364.64,162,162,4,0.0247,3415.8,False,,,1.0
medium,nearest_task,2,1866801784,8203.07,162,162,10,0.0617,3717.3,False,,,1.0
medium,nearest_task,3,736577488,9275.25,162,162,5,0.0309,3673.6,False,,,1.0
medium,nearest_task,4,108402446,7152.4,162,162,19,0.1173,3951.8,False,,,1.0
medium,nearest_task,5,550665828,9221.64,162,162,6,0.037,3491.8,False,,,1.0
medium,mappo,1,354787187,7220.42,162,162,25,0.1543,3030.3,False,,,1.0
medium,mappo,2,1866801784,6962.79,123,162,37,0.2284,2465.4,False,,,0.7593
medium,mappo,3,736577488,7262.96,124,162,36,0.2222,2495.4,False,,,0.7654
medium,mappo,4,108402446,4371.93,135,162,47,0.2901,2858.1,False,,,0.8333
medium,mappo,5,550665828,6863.82,125,162,34,0.2099,2461.0,False,,,0.7716
