scale,strategy,rounds,failure_count,failure_rate,total_score_mean,total_score_std,total_score_min,total_score_max,completed_tasks_mean,completed_tasks_std,completed_tasks_min,completed_tasks_max,total_tasks_mean,total_tasks_std,total_tasks_min,total_tasks_max,overdue_tasks_mean,overdue_tasks_std,overdue_tasks_min,overdue_tasks_max,timeout_rate_mean,timeout_rate_std,timeout_rate_min,timeout_rate_max,total_distance_mean,total_distance_std,total_distance_min,total_distance_max,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max
medium,genetic_hyper,5,0,0.0,10171.122,180.5662,9946.81,10348.34,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3203.62,192.0225,2951.2,3441.0,1.0,0.0,1.0,1.0
medium,energy_aware_alns,5,0,0.0,10064.778,357.6555,9623.12,10422.39,161.6,0.4899,161.0,162.0,162.0,0.0,162.0,162.0,1.2,1.1662,0.0,3.0,0.0074,0.0072,0.0,0.0185,3188.3,189.915,2960.7,3415.5,0.9975,0.003,0.9938,1.0
medium,time_first_bundle,5,0,0.0,9962.414,235.0646,9601.55,10258.78,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,0.4,0.4899,0.0,1.0,0.0025,0.003,0.0,0.0062,3174.36,190.09,2948.1,3405.5,1.0,0.0,1.0,1.0
medium,max_weight,5,0,0.0,8787.154,714.6948,7619.6,9519.06,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,7.0,4.0497,3.0,14.0,0.0432,0.025,0.0185,0.0864,3659.84,189.1914,3393.2,3952.6,1.0,0.0,1.0,1.0
medium,nearest_task,5,0,0.0,8643.4,856.8261,7152.4,9364.64,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,8.8,5.4918,4.0,19.0,0.0543,0.0339,0.0247,0.1173,3650.06,187.6413,3415.8,3951.8,1.0,0.0,1.0,1.0
medium,mappo,5,0,0.0,6536.384,1092.677,4371.93,7262.96,133.8,14.7431,123.0,162.0,162.0,0.0,162.0,162.0,35.8,7.0257,25.0,47.0,0.221,0.0434,0.1543,0.2901,2662.04,237.0267,2461.0,3030.3,0.8259,0.091,0.7593,1.0
