stage,episode,seed,episode_reward,total_score,completed_tasks,overdue_tasks,timeout_rate,total_distance,simulation_failed,steps,actor_loss,critic_loss,entropy
medium,56,20260458,-422.7532,-335.66,52,120,0.7407,1185.4,False,800,-0.00051,2268.074735,0.124729
medium,57,20260459,-1386.6298,-1299.06,55,125,0.7716,1151.9,False,800,-0.00036,3464.286804,0.123023
medium,58,20260460,-316.9601,-222.99,52,121,0.7469,1060.2,False,800,-0.001087,3299.166123,0.131383
medium,59,20260461,194.8324,269.64,58,114,0.7037,1281.2,False,800,-0.000712,1746.107739,0.112203
medium,60,20260462,1029.2133,1096.61,65,105,0.6481,1285.2,False,800,-0.000566,2306.227314,0.095934
medium,61,20260463,306.0944,390.94,61,113,0.6975,1200.8,False,800,0.000213,1709.225626,0.130913
medium,62,20260464,-881.06,-776.97,50,126,0.7778,1013.6,False,800,-0.000847,3994.394895,0.126603
medium,63,20260465,-798.5953,-699.26,51,125,0.7716,1160.0,False,800,-0.001405,2207.534972,0.123447
medium,64,20260466,-1060.5447,-936.69,38,132,0.8148,924.4,False,800,-0.000988,3686.97106,0.122671
medium,65,20260467,-132.4059,-29.17,50,120,0.7407,994.0,False,800,-0.000597,1751.867998,0.132142
medium,66,20260468,173.5084,268.25,52,117,0.7222,1112.2,False,800,-0.000671,2496.533239,0.129721
medium,67,20260469,-558.1648,-446.8,47,124,0.7654,950.8,False,800,-0.000461,2057.862302,0.146363
medium,68,20260470,105.5086,182.61,58,117,0.7222,1280.2,False,800,-0.000133,1537.365586,0.119928
medium,69,20260471,-231.3871,-140.32,47,122,0.7531,1094.2,False,800,-0.001084,2018.355449,0.11977
medium,70,20260472,599.9532,700.9,55,112,0.6914,1078.2,False,800,-0.000795,2957.022842,0.112738
medium,71,20260473,-67.5698,14.86,56,119,0.7346,1149.6,False,800,-0.00061,1732.254837,0.12918
medium,72,20260474,-305.4803,-208.64,52,120,0.7407,1115.4,False,800,-0.000101,2146.838022,0.129652
medium,73,20260475,97.2435,188.35,58,116,0.716,1163.4,False,800,-0.000591,1860.042693,0.116269
medium,74,20260476,-844.67,-730.41,45,125,0.7716,934.2,False,800,-0.000276,3082.018274,0.134534
medium,75,20260477,410.1509,497.82,60,113,0.6975,1214.8,False,800,-0.001224,2180.388138,0.113294
medium,76,20260478,-771.4648,-642.77,38,128,0.7901,833.6,False,800,-0.001182,2841.398466,0.12725
medium,77,20260479,240.7224,340.91,49,116,0.716,1080.0,False,800,-0.000735,2588.096304,0.107593
medium,78,20260480,-867.0278,-752.78,44,128,0.7901,914.0,False,800,-0.000342,2294.595453,0.098239
medium,79,20260481,253.7353,342.48,53,115,0.7099,1091.6,False,800,-0.000111,2235.457565,0.095231
medium,80,20260482,-162.4595,-43.13,41,122,0.7531,845.0,False,800,-0.001231,1789.008758,0.110226
medium,81,20260483,674.5327,768.75,53,110,0.679,1175.0,False,800,-0.001168,1627.018372,0.091736
medium,82,20260484,-261.7497,-142.66,46,123,0.7593,923.0,False,800,-0.000361,3181.205668,0.113845
medium,83,20260485,337.8741,431.62,51,116,0.716,1036.0,False,800,-9e-05,1733.799072,0.12005
medium,84,20260486,-285.187,-164.98,40,125,0.7716,834.4,False,800,8.6e-05,2245.128363,0.135489
medium,85,20260487,-254.7474,-142.37,43,123,0.7593,905.6,False,800,-8.3e-05,1773.73686,0.131113
medium,86,20260488,-308.0469,-204.47,46,123,0.7593,1042.6,False,800,-0.000664,1526.737615,0.120928
medium,87,20260489,177.0765,277.8,49,118,0.7284,1050.2,False,800,-0.001798,1910.88635,0.125964
medium,88,20260490,-1116.155,-994.83,37,133,0.821,829.0,False,800,-0.000769,2360.838956,0.155911
medium,89,20260491,260.9865,346.68,59,112,0.6914,1150.2,False,800,-0.001144,1640.301766,0.140036
medium,90,20260492,-255.7253,-141.7,43,122,0.7531,997.6,False,800,-0.00126,2531.914758,0.147391
medium,91,20260493,367.4684,452.67,59,113,0.6975,1177.4,False,800,-0.000776,2087.561144,0.131273
medium,92,20260494,-112.4241,7.49,44,122,0.7531,931.8,False,800,-0.000519,1936.655239,0.118098
medium,93,20260495,474.8221,554.73,68,110,0.679,1277.8,False,800,-0.000541,2290.820541,0.119976
medium,94,20260496,392.097,494.66,54,113,0.6975,1033.8,False,800,-0.000583,1759.324509,0.129033
medium,95,20260497,383.6791,472.58,57,114,0.7037,1141.4,False,800,-0.000161,3203.668667,0.118879
medium,96,20260498,210.6672,330.78,50,116,0.716,996.2,False,800,-0.001351,1321.212752,0.108187
medium,97,20260499,-58.1894,59.88,41,122,0.7531,836.0,False,800,-0.000757,1713.878132,0.118142
medium,98,20260500,-314.3696,-212.12,49,121,0.7469,958.4,False,800,-0.001613,1260.793481,0.144096
medium,99,20260501,-140.7356,-42.42,44,122,0.7531,1030.8,False,800,-0.00061,1384.252199,0.129244
medium,100,20260502,498.0512,599.31,48,115,0.7099,990.0,False,800,-0.000242,1605.806723,0.134266
