experiment,generation,candidate,fitness,strategy,rounds,failure_count,failure_rate,total_score_mean,total_score_std,total_score_min,total_score_max,completed_tasks_mean,completed_tasks_std,completed_tasks_min,completed_tasks_max,total_tasks_mean,total_tasks_std,total_tasks_min,total_tasks_max,overdue_tasks_mean,overdue_tasks_std,overdue_tasks_min,overdue_tasks_max,timeout_rate_mean,timeout_rate_std,timeout_rate_min,timeout_rate_max,total_distance_mean,total_distance_std,total_distance_min,total_distance_max,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max
energy_rate_0_5,1,1,10213.275,genetic_hyper_extra_training,2,0,0.0,9863.275,24.755,9838.52,9888.03,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,1.0,0.0,1.0,1.0,0.0062,0.0,0.0062,0.0062,3329.85,83.75,3246.1,3413.6,1.0,0.0,1.0,1.0
energy_rate_0_5,1,2,9840.865,genetic_hyper_extra_training,2,0,0.0,9490.865,45.455,9445.41,9536.32,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,2.5,0.5,2.0,3.0,0.0154,0.0031,0.0123,0.0185,3303.75,86.25,3217.5,3390.0,1.0,0.0,1.0,1.0
energy_rate_0_5,1,3,10190.62,genetic_hyper_extra_training,2,0,0.0,9840.62,133.52,9707.1,9974.14,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,1.0,1.0,0.0,2.0,0.0062,0.0062,0.0,0.0123,3343.45,105.85,3237.6,3449.3,1.0,0.0,1.0,1.0
energy_rate_0_5,1,4,9583.025,genetic_hyper_extra_training,2,0,0.0,9233.025,29.755,9203.27,9262.78,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,3.0,1.0,2.0,4.0,0.0185,0.0062,0.0123,0.0247,3292.2,109.0,3183.2,3401.2,1.0,0.0,1.0,1.0
energy_rate_0_5,1,5,9970.66,genetic_hyper_extra_training,2,0,0.0,9620.66,243.36,9377.3,9864.02,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,2.0,2.0,0.0,4.0,0.0123,0.0123,0.0,0.0247,3347.5,129.6,3217.9,3477.1,1.0,0.0,1.0,1.0
energy_rate_0_5,1,6,10236.745,genetic_hyper_extra_training,2,0,0.0,9886.745,14.635,9872.11,9901.38,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,1.5,0.5,1.0,2.0,0.0092,0.0031,0.0062,0.0123,3357.1,69.3,3287.8,3426.4,1.0,0.0,1.0,1.0
energy_rate_0_5,1,7,10076.87,genetic_hyper_extra_training,2,0,0.0,9726.87,82.52,9644.35,9809.39,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,0.5,0.5,0.0,1.0,0.0031,0.0031,0.0,0.0062,3317.2,95.7,3221.5,3412.9,1.0,0.0,1.0,1.0
energy_rate_0_5,1,8,10269.025,genetic_hyper_extra_training,2,0,0.0,9919.025,51.625,9867.4,9970.65,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,0.5,0.5,0.0,1.0,0.0031,0.0031,0.0,0.0062,3323.4,85.8,3237.6,3409.2,1.0,0.0,1.0,1.0
energy_rate_0_5,2,1,10269.025,genetic_hyper_extra_training,2,0,0.0,9919.025,51.625,9867.4,9970.65,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,0.5,0.5,0.0,1.0,0.0031,0.0031,0.0,0.0062,3323.4,85.8,3237.6,3409.2,1.0,0.0,1.0,1.0
energy_rate_0_5,2,2,10236.745,genetic_hyper_extra_training,2,0,0.0,9886.745,14.635,9872.11,9901.38,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,1.5,0.5,1.0,2.0,0.0092,0.0031,0.0062,0.0123,3357.1,69.3,3287.8,3426.4,1.0,0.0,1.0,1.0
energy_rate_0_5,2,3,10269.025,genetic_hyper_extra_training,2,0,0.0,9919.025,51.625,9867.4,9970.65,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,0.5,0.5,0.0,1.0,0.0031,0.0031,0.0,0.0062,3323.4,85.8,3237.6,3409.2,1.0,0.0,1.0,1.0
energy_rate_0_5,2,4,10298.7,genetic_hyper_extra_training,2,0,0.0,9948.7,15.99,9932.71,9964.69,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,0.5,0.5,0.0,1.0,0.0031,0.0031,0.0,0.0062,3359.95,79.25,3280.7,3439.2,1.0,0.0,1.0,1.0
energy_rate_0_5,2,5,10163.945,genetic_hyper_extra_training,2,0,0.0,9813.945,106.845,9707.1,9920.79,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,1.0,1.0,0.0,2.0,0.0062,0.0062,0.0,0.0123,3355.75,93.55,3262.2,3449.3,1.0,0.0,1.0,1.0
energy_rate_0_5,2,6,10182.365,genetic_hyper_extra_training,2,0,0.0,9832.365,54.555,9777.81,9886.92,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,1.5,0.5,1.0,2.0,0.0092,0.0031,0.0062,0.0123,3329.85,83.75,3246.1,3413.6,1.0,0.0,1.0,1.0
